ticker,name,sector,type,market_value,weight,notional_value,shares,price,location,exchange,currency
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Industrials","Equity","35,353,860.57","1.15","35,353,860.57","260,127.00","135.91","United States","NASDAQ","USD"
"6383","DAIFUKU LTD","Industrials","Equity","35,025,686.84","1.14","35,025,686.84","553,811.00","63.24","Japan","Tokyo Stock Exchange","JPY"
"6479","MINEBEA MITSUMI INC","Industrials","Equity","33,886,635.99","1.11","33,886,635.99","1,868,100.00","18.14","Japan","Tokyo Stock Exchange","JPY"
"6963","ROHM LTD","Information Technology","Equity","33,721,725.55","1.10","33,721,725.55","404,804.00","83.30","Japan","Tokyo Stock Exchange","JPY"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","31,194,856.62","1.02","31,194,856.62","595,549.00","52.38","United States","NASDAQ","USD"
"1810","XIAOMI CORP","Information Technology","Equity","30,062,388.13","0.98","30,062,388.13","20,342,000.00","1.48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","29,409,157.23","0.96","29,409,157.23","191,703.00","153.41","United States","NASDAQ","USD"
"CDK","CDK GLOBAL INC","Information Technology","Equity","28,988,132.18","0.95","28,988,132.18","532,283.00","54.46","United States","NASDAQ","USD"
"COHR","COHERENT INC","Information Technology","Equity","28,817,562.84","0.94","28,817,562.84","106,898.00","269.58","United States","NASDAQ","USD"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","28,809,231.33","0.94","28,809,231.33","221,763.00","129.91","United States","New York Stock Exchange Inc.","USD"
"MOCORP","METSO OUTOTEC CORP","Industrials","Equity","27,779,831.13","0.91","27,779,831.13","3,085,679.00","9.00","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","26,778,299.31","0.87","26,778,299.31","474,793.00","56.40","Taiwan","Taiwan Stock Exchange","TWD"
"G1A","GEA GROUP AG","Industrials","Equity","26,187,197.61","0.86","26,187,197.61","647,370.00","40.45","Germany","Xetra","EUR"
"AZPN","ASPEN TECHNOLOGY INC","Information Technology","Equity","24,641,310.33","0.80","24,641,310.33","124,621.00","197.73","United States","NASDAQ","USD"
"CLVT","CLARIVATE PLC","Industrials","Equity","22,261,553.60","0.73","22,261,553.60","1,494,064.00","14.90","United States","New York Stock Exchange Inc.","USD"
"6841","YOKOGAWA ELECTRIC CORP","Information Technology","Equity","21,036,542.08","0.69","21,036,542.08","1,174,987.00","17.90","Japan","Tokyo Stock Exchange","JPY"
"SXS","SPECTRIS PLC","Information Technology","Equity","20,299,194.97","0.66","20,299,194.97","530,038.00","38.30","United Kingdom","London Stock Exchange","GBP"
"NOVT","NOVANTA INC","Information Technology","Equity","19,337,466.46","0.63","19,337,466.46","153,826.00","125.71","United States","NASDAQ","USD"
"TDC","TERADATA CORP","Information Technology","Equity","18,365,041.80","0.60","18,365,041.80","478,755.00","38.36","United States","New York Stock Exchange Inc.","USD"
"SNAP","SNAP INC CLASS A","Communication","Equity","18,355,312.14","0.60","18,355,312.14","1,178,133.00","15.58","United States","New York Stock Exchange Inc.","USD"
"ESTC","ELASTIC NV","Information Technology","Equity","18,268,021.20","0.60","18,268,021.20","282,568.00","64.65","United States","New York Stock Exchange Inc.","USD"
"6845","AZBIL CORP","Information Technology","Equity","18,087,256.17","0.59","18,087,256.17","636,056.00","28.44","Japan","Tokyo Stock Exchange","JPY"
"NEM","NEMETSCHEK","Information Technology","Equity","17,769,080.50","0.58","17,769,080.50","245,213.00","72.46","Germany","Xetra","EUR"
"ONTO","ONTO INNOVATION INC","Information Technology","Equity","17,605,774.72","0.58","17,605,774.72","214,078.00","82.24","United States","New York Stock Exchange Inc.","USD"
"IPGP","IPG PHOTONICS CORP","Information Technology","Equity","17,402,962.50","0.57","17,402,962.50","169,785.00","102.50","United States","NASDAQ","USD"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Industrials","Equity","17,188,555.16","0.56","17,188,555.16","139,111.00","123.56","United States","New York Stock Exchange Inc.","USD"
"VALMT","VALMET","Industrials","Equity","16,134,721.62","0.53","16,134,721.62","584,145.00","27.62","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"KGX","KION GROUP AG","Industrials","Equity","15,304,481.27","0.50","15,304,481.27","315,172.00","48.56","Germany","Xetra","EUR"
